Carimbo de data/hora,1 - Você já utilizou o MOJ ?,1 - Qual seu sexo ?,2 - Qual a sua idade ?,3 - Qual o seu curso ?,4 - Qual o seu período?,1 - Você sente facilidade para encontrar as suas listas de atividades no MOJ ? ,2 -  Você já enfrentou problemas para saber oque está acontecendo com o seu código dentro do MOJ ?,3 - Como você avalia a acessibilidade do MOJ ?,"4 - Em relação aos problemas que você encontra no MOJ, você se sente auxiliado em relação a eles ?", 5 -  O MOJ fornece feedback útil quando cometo erros ou encontro problemas?,"6 -  Sobre a afirmação: ""O MOJ é uma plataforma inclusiva""","7 - Sobre a afirmação: ""O MOJ informa sobre o status do sistema durante o uso.""
Exemplo:","8 - Sobre a afirmação: ""É fácil corrigir uma ação caso cometa um erro ao submeter a questão.""
Exemplo: corrigir o arquivo de um código já enviado. 🗑","9 - Sobre a afirmação: ""A aparência do MOJ é  agradável as olhos"".","10 - Sobre a afirmação: ""O MOJ é um site intuitivo de se navegar""","11 - Sobre a afirmação: ""É fácil acessar informações de ajuda ou documentação quando você precisa de orientação.""","12 - Caso já tenha usado outro(s) juiz(es) eletrônico(s), como você avaliaria o MOJ comparativamente?",13 - O que você menos gosta no site do MOJ? Que melhorias você sugere para o site ?
18/09/2023 19:29:53,Sim,Feminino,De 18 anos até 23 anos,Engenharia de Software,9° período,Ás vezes encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, raramente me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Discordo Parcialmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo parcialmente,Sou neutro,Não usei outros juizes eletrônicos,
18/09/2023 19:30:21,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,8° período,Ás vezes encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, raramente me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Sou Neutro,Sou neutro,Discordo parcialmente,Discordo parcialmente,Discordo parcialmente,Discordo parcialmente,Considero o MOJ na média,a falta de feedback aos usuarios
18/09/2023 19:30:36,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,10° período,Sempre encontro minhas listas com facilidade,Com frequência sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, com frequência me sinto bem auxiliado.",Com frequência recebo feedback claro e útil,Concordo Parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Considero o MOJ acima da média,
18/09/2023 19:31:03,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,5° período,Ás vezes encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, nunca me senti bem auxiliado.",Nunca recebo feedback claro e útil,Discordo Parcialmente,Discordo totalmente,Discordo totalmente,Sou neutro,Concordo parcialmente,Discordo totalmente,Considero o MOJ abaixo da média,Ter que recarregar a página repetidamente para saber o resultado da submissão. Gostaria que o site atualizasse em tempo real os resultados.
18/09/2023 19:31:13,Sim,Feminino,De 18 anos até 23 anos,Engenharia de Software,1° período,Ás vezes encontro minhas listas com facilidade,Nunca sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, raramente me sinto bem auxiliado.",Nunca recebo feedback claro e útil,Discordo Parcialmente,Discordo totalmente,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Sou neutro,Não usei outros juizes eletrônicos,
18/09/2023 19:31:18,Sim,Feminino,De 18 anos até 23 anos,Engenharia de Software,1° período,Com frequência encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Sou Neutro,Sou neutro,Discordo parcialmente,Discordo parcialmente,Discordo parcialmente,Sou neutro,Considero o MOJ na média,
18/09/2023 19:31:36,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,Prefiro não dizer,Com frequência encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Ás vezes recebo feedback claro e útil,Concordo Parcialmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Sou neutro,Não usei outros juizes eletrônicos,"Parte visual , e um feedback mais preciso para saber qual o problema com o código quando ele não está correto ! "
18/09/2023 19:31:54,Sim,Masculino,De 18 anos até 23 anos,Engenharia Eletrônica,2° período,Sempre encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Ótima,"Quando encontro problemas, raramente me sinto bem auxiliado.",Ás vezes recebo feedback claro e útil,Concordo Totalmente,Discordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo totalmente,Sou neutro,Não usei outros juizes eletrônicos,Algumas siglas não possuem significado explícito 
18/09/2023 19:31:56,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,9° período,Ás vezes encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, nunca me senti bem auxiliado.",Raramente recebo feedback claro e útil,Discordo Parcialmente,Discordo parcialmente,Sou neutro,Sou neutro,Discordo parcialmente,Discordo totalmente,Considero o MOJ abaixo da média,"Muito difícil encontrar listas de exercícios, principalmente, ao final do semestre"
18/09/2023 19:32:03,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,4° período,Com frequência encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Ás vezes recebo feedback claro e útil,Sou Neutro,Concordo parcialmente,Sou neutro,Concordo parcialmente,Concordo parcialmente,Sou neutro,Considero o MOJ na média,
18/09/2023 19:34:12,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,8° período,Ás vezes encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, com frequência me sinto bem auxiliado.",Ás vezes recebo feedback claro e útil,Concordo Parcialmente,Concordo totalmente,Sou neutro,Concordo parcialmente,Sou neutro,Discordo parcialmente,Considero o MOJ na média,"Quando há muitas listas em aberto ao mesmo tempo, possuo uma certa dificuldade em encontrar a lista que eu quero. Talvez a implementação de um sistema de filtros e tags ajude a identificar as listas."
18/09/2023 19:34:39,Sim,Feminino,De 18 anos até 23 anos,Engenharia de Software,6° período,Nunca encontro minhas listas com facilidade,Nunca sei o que está acontecendo com meu código,Péssima,"Quando encontro problemas, nunca me senti bem auxiliado.",Nunca recebo feedback claro e útil,Discordo Totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Considero o MOJ abaixo da média,
18/09/2023 19:35:27,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,8° período,Raramente encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, raramente me sinto bem auxiliado.",Ás vezes recebo feedback claro e útil,Discordo Totalmente,Sou neutro,Discordo parcialmente,Discordo totalmente,Discordo totalmente,Sou neutro,Não usei outros juizes eletrônicos,"Odeio a falta de clareza quando erro a questão. Adoraria mais clareza no erro do código, mais acessibilidade, mais intuitivo e mais bonito."
18/09/2023 19:36:31,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,6° período,Com frequência encontro minhas listas com facilidade,Com frequência sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, raramente me sinto bem auxiliado.",Com frequência recebo feedback claro e útil,Concordo Totalmente,Concordo totalmente,Discordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo totalmente,Considero o MOJ abaixo da média,O que menos me agrada no MOJ é sua interface
18/09/2023 19:39:56,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,6° período,Sempre encontro minhas listas com facilidade,Sempre sei o que está acontecendo com meu código,Ótima,Não encontro problemas ao utilizar o MOJ >:(,Sempre recebo feedback claro e útil.,Concordo Totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Considero o MOJ muito acima da média,ele é PERFEITO viva a comunidade BCR!
18/09/2023 19:40:19,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,6° período,Raramente encontro minhas listas com facilidade,Nunca sei o que está acontecendo com meu código,Péssima,"Quando encontro problemas, raramente me sinto bem auxiliado.",Nunca recebo feedback claro e útil,Discordo Parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Considero o MOJ abaixo da média,De tudo o que ele representa e ele nunca te mostra o que você errou
18/09/2023 19:42:32,Sim,Feminino,De 18 anos até 23 anos,Engenharia de Software,Acima do 10º período,Com frequência encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Péssima,"Quando encontro problemas, nunca me senti bem auxiliado.",Raramente recebo feedback claro e útil,Discordo Totalmente,Sou neutro,Discordo parcialmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Considero o MOJ abaixo da média,"A interface é pouco intuitiva e inclusiva, além de não fornecer um feedback adequado ao usuário sobre as ações que estão sendo executadas. Creio que um interface mais moderna e divertida atrairia e estimularia mais os alunos, e bons feedbacks ajudariam a melhor seus desempenhos. Ademais, uma funcionalidade para organização das listas por parte do usuário ajudaria no seu planejamento para as entregas."
18/09/2023 19:46:20,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,7° período,Raramente encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Ótima,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Concordo Totalmente,Concordo totalmente,Sou neutro,Concordo parcialmente,Concordo parcialmente,Sou neutro,Considero o MOJ na média,
18/09/2023 19:46:54,Sim,Masculino,De 18 anos até 23 anos,ainda no período básico ,1° período,Sempre encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, com frequência me sinto bem auxiliado.",Nunca recebo feedback claro e útil,Sou Neutro,Concordo totalmente,Discordo totalmente,Discordo parcialmente,Discordo totalmente,Concordo totalmente,Não usei outros juizes eletrônicos,queria saber quais (pelo menos uma) entradas não deram a saida esperada.
18/09/2023 19:47:56,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,6° período,Com frequência encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Discordo Totalmente,Discordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Sou neutro,Considero o MOJ na média,"Não conseguir recuperar os arquivos de subimições anteriores, além de que o moj por sí só não fornece todos os feedbacks necessários. Seria interessante integrar o MOJITO ao site."
18/09/2023 19:48:59,Sim,Masculino,De 24 anos até 30 anos,Engenharia de Software,10° período,Com frequência encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, raramente me sinto bem auxiliado.",Nunca recebo feedback claro e útil,Sou Neutro,Discordo totalmente,Discordo totalmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Considero o MOJ abaixo da média,
18/09/2023 19:49:37,Não,,,,,,,,,,,,,,,,,
18/09/2023 19:51:48,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,6° período,Com frequência encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, raramente me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Sou Neutro,Discordo totalmente,Discordo totalmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Considero o MOJ na média,
18/09/2023 19:56:39,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,9° período,Ás vezes encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, com frequência me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Sou Neutro,Discordo totalmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Não usei outros juizes eletrônicos,
18/09/2023 20:00:01,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,Acima do 10º período,Sempre encontro minhas listas com facilidade,Sempre sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, com frequência me sinto bem auxiliado.",Com frequência recebo feedback claro e útil,Concordo Totalmente,Concordo totalmente,Discordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Considero o MOJ acima da média,Ter darkmode
18/09/2023 20:01:21,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,3° período,Raramente encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, nunca me senti bem auxiliado.",Nunca recebo feedback claro e útil,Concordo Parcialmente,Sou neutro,Discordo totalmente,Discordo totalmente,Discordo totalmente,Sou neutro,Considero o MOJ acima da média,
18/09/2023 20:02:50,Sim,Feminino,De 24 anos até 30 anos,Engenharia de Software,6° período,Raramente encontro minhas listas com facilidade,Nunca sei o que está acontecendo com meu código,Péssima,"Quando encontro problemas, nunca me senti bem auxiliado.",Raramente recebo feedback claro e útil,Discordo Totalmente,Sou neutro,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Considero o MOJ abaixo da média,"Tudo. Muito ruim de achar as coisas, desorganizado, péssimo de feedback"
18/09/2023 20:04:43,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,5° período,Ás vezes encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, raramente me sinto bem auxiliado.",Ás vezes recebo feedback claro e útil,Discordo Parcialmente,Discordo totalmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo totalmente,Considero o MOJ na média,
18/09/2023 20:05:21,Sim,Feminino,De 18 anos até 23 anos,Engenharia de Software,6° período,Raramente encontro minhas listas com facilidade,Nunca sei o que está acontecendo com meu código,Péssima,"Quando encontro problemas, nunca me senti bem auxiliado.",Nunca recebo feedback claro e útil,Discordo Totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Considero o MOJ abaixo da média,
18/09/2023 20:06:09,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,2° período,Com frequência encontro minhas listas com facilidade,Com frequência sei o que está acontecendo com meu código,Ótima,"Quando encontro problemas, com frequência me sinto bem auxiliado.",Com frequência recebo feedback claro e útil,Sou Neutro,Discordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Não usei outros juizes eletrônicos,"Sistema de correção, as vzs vc perde os 100 pontos por causa de um "" "" ou por causa da diferença de letras maiúsculas e minúsculas"
18/09/2023 20:07:11,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,6° período,Com frequência encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Ás vezes recebo feedback claro e útil,Discordo Parcialmente,Discordo totalmente,Discordo totalmente,Sou neutro,Discordo parcialmente,Discordo parcialmente,Considero o MOJ abaixo da média,
18/09/2023 20:17:56,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,5° período,Ás vezes encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, nunca me senti bem auxiliado.",Com frequência recebo feedback claro e útil,Sou Neutro,Discordo parcialmente,Sou neutro,Discordo parcialmente,Discordo parcialmente,Discordo parcialmente,Considero o MOJ na média,"Separar as listas de exercícios por turma e/ou professor; A página não atualiza após uma questão ser julgada, sendo necessário recarregar a página para obter o resultado."
18/09/2023 20:25:20,Sim,Feminino,De 24 anos até 30 anos,Engenharia de Software,6° período,Raramente encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Nunca recebo feedback claro e útil,Discordo Totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Considero o MOJ abaixo da média,
18/09/2023 20:27:45,Sim,Feminino,De 18 anos até 23 anos,Engenharia de Software,10° período,Ás vezes encontro minhas listas com facilidade,Com frequência sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Ás vezes recebo feedback claro e útil,Concordo Totalmente,Sou neutro,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Considero o MOJ na média,"A pergunta 8 não é relevante.Nenhum URI que conheça permite que seja apagado um código já enviado. Isso é usado, muitas  vezes, para classificação "
18/09/2023 20:29:05,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,Acima do 10º período,Sempre encontro minhas listas com facilidade,Com frequência sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, com frequência me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Sou Neutro,Discordo totalmente,Sou neutro,Concordo totalmente,Concordo totalmente,Concordo totalmente,Considero o MOJ na média,não poder acessar o código-fonte após o fim do contest
18/09/2023 20:29:12,Sim,Feminino,De 18 anos até 23 anos,Engenharia de Software,4° período,Com frequência encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Mediana,Não encontro problemas ao utilizar o MOJ >:(,Nunca recebo feedback claro e útil,Sou Neutro,Sou neutro,Sou neutro,Discordo parcialmente,Discordo parcialmente,Discordo totalmente,Não usei outros juizes eletrônicos,
18/09/2023 20:29:16,Sim,Feminino,De 24 anos até 30 anos,Engenharia de Software,7° período,Com frequência encontro minhas listas com facilidade,Com frequência sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, raramente me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Discordo Parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Sou neutro,Considero o MOJ na média,
18/09/2023 20:36:35,Sim,Masculino,De 24 anos até 30 anos,Engenharia de Software,Acima do 10º período,Raramente encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, raramente me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Discordo Parcialmente,Concordo totalmente,Discordo parcialmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Não usei outros juizes eletrônicos,
18/09/2023 20:45:21,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,4° período,Nunca encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, nunca me senti bem auxiliado.",Nunca recebo feedback claro e útil,Discordo Totalmente,Concordo parcialmente,Sou neutro,Discordo totalmente,Discordo totalmente,Discordo parcialmente,Considero o MOJ abaixo da média,"Ele poderia mostrar o comparativo do resultado esperado vs o resultado obtido do codigo, igual os professores Fabrício e Nilton usam no juiz eletrônico deles integrado ao Aprender3 que diga-se de passagem é 1000 vezes mais intuitivo pq segue o padrao de questoes e eu não preciso abrir um pdf da questão, posso compilar no aprender pra testar primeiro a saida e só depois enviar pra correção. A interface faz mais sentido e etc.
E sim eu sei que da pra pedir o bot mojinho pra me dar um arquivo que compara a resposta esperada com a obtida nos casos de testes, mas eu demorei uns 3 períodos pra descobrir isso pq não fala e lugar nenhum no site do moj. Alem de que eu precisar de mais um negocio aberto pra ter o feedback da questão é péssimo. Podia so ter um botão pra isso no próprio site."
18/09/2023 20:55:49,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,4° período,Com frequência encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, nunca me senti bem auxiliado.",Ás vezes recebo feedback claro e útil,Concordo Parcialmente,Discordo parcialmente,Discordo parcialmente,Discordo totalmente,Concordo parcialmente,Discordo parcialmente,Considero o MOJ na média,"A augurarão que vejo é uma maneira de mostrar alguns casos de testes que o seu código não está passando, algo nessa linha de raciocínio, porém sei que o jeito que isso possa ser implementado poderá abrir oportunidades para trapaças, sendo assim, a solução para isso deve ser implementada de forma a considerar os seus mínimos detalhes "
18/09/2023 21:02:38,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,5° período,Ás vezes encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, raramente me sinto bem auxiliado.",Ás vezes recebo feedback claro e útil,Concordo Parcialmente,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Considero o MOJ na média,A questão da navegabilidade e avisos quando o código da problema.
18/09/2023 21:19:18,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,2° período,Com frequência encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Boa,"Quando encontro problemas, às vezes me sinto bem auxiliado.",Com frequência recebo feedback claro e útil,Sou Neutro,Discordo totalmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Não usei outros juizes eletrônicos,"Algumas indicações que me dão 0p mas, não é apenas erro no código ou na lógica,"
18/09/2023 21:21:15,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,4° período,Raramente encontro minhas listas com facilidade,Ás vezes sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, raramente me sinto bem auxiliado.",Nunca recebo feedback claro e útil,Discordo Parcialmente,Discordo totalmente,Discordo parcialmente,Discordo totalmente,Concordo parcialmente,Sou neutro,Considero o MOJ abaixo da média,
18/09/2023 21:26:51,Sim,Feminino,De 18 anos até 23 anos,Engenharia de Software,7° período,Ás vezes encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Mediana,"Quando encontro problemas, raramente me sinto bem auxiliado.",Raramente recebo feedback claro e útil,Discordo Totalmente,Sou neutro,Discordo totalmente,Discordo totalmente,Discordo parcialmente,Sou neutro,Considero o MOJ na média,"De como ele não te dá sugestões do que pode ser o erro, não precisa dar necessariamente a resposta, mas pelo menos um guia."
18/09/2023 21:29:53,Sim,Masculino,De 18 anos até 23 anos,Engenharia de Software,6° período,Ás vezes encontro minhas listas com facilidade,Raramente sei o que está acontecendo com meu código,Ruim,"Quando encontro problemas, nunca me senti bem auxiliado.",Nunca recebo feedback claro e útil,Concordo Parcialmente,Concordo totalmente,Sou neutro,Discordo parcialmente,Discordo totalmente,Sou neutro,Considero o MOJ abaixo da média,"Mensagens de erro não detalhadas, sugiro adicionar de alguma forma mensagens de erro detalhadas especificando linha de código e se possível sugestões de melhoria"
